type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,718645,尼克森永豐08購01,TW21Z7186459,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718646,兆利永豐08購01,TW21Z7186467,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718647,明安永豐08購01,TW21Z7186475,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718648,東洋永豐08購01,TW21Z7186483,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718649,金益鼎永豐08購01,TW21Z7186491,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718650,信音永豐08購01,TW21Z7186509,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718651,威剛永豐08購01,TW21Z7186517,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718652,海韻電永豐08購02,TW21Z7186525,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718653,高技永豐08購02,TW21Z7186533,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718654,崧騰永豐08購02,TW21Z7186541,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718655,博智永豐08購01,TW21Z7186558,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718656,聚和永豐08購01,TW21Z7186566,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718657,豪展永豐08購01,TW21Z7186574,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718658,熱映永豐08購01,TW21Z7186582,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718659,鈺太永豐08購01,TW21Z7186590,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718660,力致統一0A購02,TW21Z7186608,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718661,威剛統一0A購02,TW21Z7186616,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718662,海韻電統一0A購01,TW21Z7186624,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718663,崧騰統一0A購01,TW21Z7186632,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718664,群聯統一09購06,TW21Z7186640,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718665,譜瑞統一0A購01,TW21Z7186657,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718666,鈺太統一0A購01,TW21Z7186665,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718667,威剛元大0A購01,TW21Z7186673,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718668,僑威元大09購01,TW21Z7186681,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718669,雍智元富08購01,TW21Z7186699,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718670,僑威元富08購01,TW21Z7186707,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718671,譜瑞元富08購02,TW21Z7186715,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718672,旺矽兆豐08購01,TW21Z7186723,2021/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,718673,力旺富邦0A購01,TW21Z7186731,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718674,力旺群益08購03,TW21Z7186749,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718675,六角群益08購01,TW21Z7186756,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718676,台半群益09購01,TW21Z7186764,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718677,茂達群益08購01,TW21Z7186772,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718678,新普群益0A購01,TW21Z7186780,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718679,雙鴻群益08購03,TW21Z7186798,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718680,力旺元大08購06,TW21Z7186806,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718681,力旺元大08購07,TW21Z7186814,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718682,力旺元大0A購01,TW21Z7186822,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718683,大田元大08購02,TW21Z7186830,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718684,信音元大08購02,TW21Z7186848,2021/02/25,上櫃,,RWSCCA
